Date,Food_Category,Food_Prepared,Food_Consumed,Leftover,Expected_Customers,Holiday,Special_Event,Weather
2024-02-21,Desserts,216,197,19,196,No,No,Sunny
2024-02-22,Meals,436,412,24,434,No,No,Sunny
2024-02-22,Biryani,365,349,16,361,No,No,Sunny
2024-02-22,Breakfast,290,277,13,274,No,No,Rainy
2024-02-23,Snacks,260,245,15,264,No,No,Sunny
2024-02-23,Dinner,482,443,39,437,No,No,Sunny
2024-02-23,Desserts,292,270,22,266,No,No,Rainy
2024-02-24,Meals,558,521,37,530,No,Yes,Cloudy
2024-02-24,Biryani,867,830,37,851,Yes,Yes,Sunny
2024-02-24,Breakfast,470,461,9,457,No,Yes,Windy
2024-02-25,Snacks,422,393,29,420,No,Yes,Sunny
2024-02-25,Dinner,682,660,22,705,Yes,Yes,Cloudy
2024-02-25,Desserts,292,267,25,268,No,No,Rainy
2024-02-26,Meals,534,501,33,498,No,No,Cold
2024-02-26,Biryani,485,455,30,471,No,No,Sunny
2024-02-26,Breakfast,329,322,7,329,No,No,Windy
2024-02-27,Snacks,341,311,30,327,No,No,Rainy
2024-02-27,Dinner,424,395,29,393,No,No,Rainy
2024-02-27,Desserts,246,229,17,238,No,No,Sunny
2024-02-28,Meals,447,424,23,430,No,No,Sunny
2024-02-28,Biryani,499,477,22,476,No,No,Sunny
2024-02-28,Breakfast,293,281,12,288,No,No,Cloudy
2024-02-29,Snacks,287,264,23,266,No,No,Cloudy
2024-02-29,Dinner,326,303,23,322,No,No,Rainy
2024-02-29,Desserts,338,304,34,318,No,Yes,Cloudy
2024-03-01,Meals,529,493,36,503,No,No,Cloudy
2024-03-01,Biryani,657,625,32,661,Yes,No,Cloudy
2024-03-01,Breakfast,410,392,18,402,No,No,Sunny
2024-03-02,Snacks,406,384,22,408,No,Yes,Cloudy
2024-03-02,Dinner,433,416,17,450,No,No,Cloudy
2024-03-02,Desserts,278,255,23,264,No,No,Cloudy
2024-03-03,Meals,593,551,42,569,No,Yes,Sunny
2024-03-03,Biryani,742,704,38,741,Yes,No,Sunny
2024-03-03,Breakfast,359,336,23,351,No,No,Sunny
2024-03-04,Snacks,263,242,21,261,No,No,Cloudy
2024-03-04,Dinner,684,634,50,649,Yes,Yes,Windy
2024-03-04,Desserts,293,263,30,277,No,Yes,Sunny
2024-03-05,Meals,461,431,30,457,No,No,Windy
2024-03-05,Biryani,501,472,29,495,No,No,Sunny
2024-03-05,Breakfast,270,253,17,265,No,No,Sunny
2024-03-06,Snacks,268,257,11,275,No,No,Sunny
2024-03-06,Dinner,425,393,32,406,No,No,Cloudy
2024-03-06,Desserts,269,244,25,250,No,No,Windy
2024-03-07,Meals,379,361,18,375,No,No,Rainy
2024-03-07,Biryani,700,654,46,688,No,Yes,Rainy
2024-03-07,Breakfast,455,432,23,441,Yes,No,Sunny
2024-03-08,Snacks,281,265,16,263,No,No,Cloudy
2024-03-08,Dinner,425,410,15,443,No,No,Sunny
2024-03-08,Desserts,280,262,18,270,No,No,Cloudy
2024-03-09,Meals,426,403,23,426,No,No,Rainy
2024-03-09,Biryani,633,605,28,653,No,No,Rainy
2024-03-09,Breakfast,397,375,22,394,No,No,Cloudy
2024-03-10,Snacks,280,262,18,274,No,No,Cloudy
2024-03-10,Dinner,523,484,39,483,No,No,Cloudy
2024-03-10,Desserts,248,229,19,240,No,No,Sunny
2024-03-11,Meals,400,387,13,415,No,No,Cold
2024-03-11,Biryani,674,612,62,610,No,Yes,Cloudy
2024-03-11,Breakfast,429,398,31,426,Yes,No,Cloudy
2024-03-12,Snacks,307,290,17,301,No,No,Sunny
2024-03-12,Dinner,377,354,23,367,No,No,Sunny
2024-03-12,Desserts,254,234,20,234,No,No,Rainy
2024-03-13,Meals,385,351,34,361,No,No,Rainy
2024-03-13,Biryani,504,465,39,493,No,No,Sunny
2024-03-13,Breakfast,353,329,24,347,No,No,Sunny
2024-03-14,Snacks,243,222,21,231,No,No,Sunny
2024-03-14,Dinner,396,379,17,391,No,No,Sunny
2024-03-14,Desserts,249,223,26,221,No,No,Sunny
2024-03-15,Meals,435,419,16,424,No,No,Sunny
2024-03-15,Biryani,618,585,33,631,No,No,Sunny
2024-03-15,Breakfast,335,322,13,340,No,No,Cloudy
2024-03-16,Snacks,431,395,36,425,Yes,No,Rainy
2024-03-16,Dinner,584,545,39,567,No,Yes,Rainy
2024-03-16,Desserts,301,283,18,279,No,No,Sunny
2024-03-17,Meals,406,370,36,377,No,No,Rainy
2024-03-17,Biryani,768,704,64,738,No,Yes,Cloudy
2024-03-17,Breakfast,394,382,12,382,No,No,Sunny
2024-03-18,Snacks,309,285,24,290,No,No,Cloudy
2024-03-18,Dinner,438,425,13,453,Yes,No,Rainy
2024-03-18,Desserts,224,208,16,214,No,No,Cold
2024-03-19,Meals,408,393,15,413,No,No,Sunny
2024-03-19,Biryani,388,364,24,361,No,No,Cloudy
2024-03-19,Breakfast,343,321,22,321,No,No,Rainy
2024-03-20,Snacks,349,332,17,341,Yes,No,Cloudy
2024-03-20,Dinner,364,346,18,350,No,No,Sunny
2024-03-20,Desserts,294,273,21,268,Yes,No,Sunny
2024-03-21,Meals,407,378,29,378,No,No,Sunny
2024-03-21,Biryani,503,483,20,484,No,No,Rainy
2024-03-21,Breakfast,402,377,25,385,Yes,No,Sunny
2024-03-22,Snacks,347,326,21,334,No,No,Cloudy
2024-03-22,Dinner,517,490,27,506,No,No,Sunny
2024-03-22,Desserts,314,278,36,289,No,No,Sunny
2024-03-23,Meals,495,467,28,463,No,No,Sunny
2024-03-23,Biryani,506,485,21,509,No,No,Sunny
2024-03-23,Breakfast,403,382,21,383,No,No,Cloudy
2024-03-24,Snacks,381,357,24,387,No,Yes,Cloudy
2024-03-24,Dinner,504,467,37,458,No,No,Rainy
2024-03-24,Desserts,310,281,29,277,No,No,Sunny
2024-03-25,Meals,453,435,18,443,No,No,Sunny
2024-03-25,Biryani,382,365,17,395,No,No,Windy
2024-03-25,Breakfast,344,318,26,314,No,No,Sunny
2024-03-26,Snacks,298,287,11,295,No,No,Rainy
2024-03-26,Dinner,391,364,27,390,No,No,Rainy
2024-03-26,Desserts,283,254,29,261,No,No,Cloudy
2024-03-27,Meals,606,573,33,575,Yes,Yes,Rainy
2024-03-27,Biryani,511,462,49,487,No,No,Rainy
2024-03-27,Breakfast,307,293,14,317,No,No,Cloudy
2024-03-28,Snacks,341,316,25,333,No,No,Rainy
2024-03-28,Dinner,451,429,22,440,No,No,Cold
2024-03-28,Desserts,234,217,17,234,No,No,Sunny
2024-03-29,Meals,461,431,30,453,No,No,Sunny
2024-03-29,Biryani,621,578,43,596,No,No,Rainy
2024-03-29,Breakfast,375,359,16,382,No,Yes,Cold
2024-03-30,Snacks,395,370,25,383,Yes,No,Cloudy
2024-03-30,Dinner,478,447,31,466,No,No,Cloudy
2024-03-30,Desserts,330,306,24,308,No,Yes,Rainy
2024-03-31,Meals,596,544,52,571,No,Yes,Cold
2024-03-31,Biryani,645,615,30,666,No,No,Rainy
2024-03-31,Breakfast,307,298,9,304,No,No,Rainy
2024-04-01,Snacks,287,264,23,277,No,No,Sunny
2024-04-01,Dinner,426,388,38,393,No,No,Sunny
2024-04-01,Desserts,211,199,12,202,No,No,Cloudy
2024-04-02,Meals,431,403,28,407,No,No,Cloudy
2024-04-02,Biryani,483,460,23,459,No,No,Rainy
2024-04-02,Breakfast,410,398,12,419,No,Yes,Cold
2024-04-03,Snacks,312,286,26,283,No,No,Cloudy
2024-04-03,Dinner,547,513,34,521,No,Yes,Sunny
2024-04-03,Desserts,245,226,19,237,No,No,Windy
2024-04-04,Meals,344,329,15,351,No,No,Rainy
2024-04-04,Biryani,371,350,21,369,No,No,Cold
2024-04-04,Breakfast,296,285,11,286,No,No,Sunny
2024-04-05,Snacks,402,370,32,364,No,No,Sunny
2024-04-05,Dinner,455,429,26,450,No,No,Sunny
2024-04-05,Desserts,327,291,36,299,No,No,Sunny
2024-04-06,Meals,427,398,29,410,No,No,Rainy
2024-04-06,Biryani,767,738,29,741,Yes,No,Sunny
2024-04-06,Breakfast,363,334,29,356,No,No,Cold
2024-04-07,Snacks,295,277,18,284,No,No,Sunny
2024-04-07,Dinner,532,484,48,479,No,No,Sunny
2024-04-07,Desserts,282,252,30,249,No,No,Cold
2024-04-08,Meals,587,550,37,540,Yes,No,Sunny
2024-04-08,Biryani,454,431,23,446,No,No,Windy
2024-04-08,Breakfast,312,291,21,293,No,No,Rainy
2024-04-09,Snacks,327,300,27,299,No,No,Sunny
2024-04-09,Dinner,362,344,18,369,No,No,Sunny
2024-04-09,Desserts,233,207,26,208,No,No,Sunny
2024-04-10,Meals,354,341,13,369,No,No,Sunny
2024-04-10,Biryani,505,464,41,460,No,No,Rainy
2024-04-10,Breakfast,408,397,11,422,No,Yes,Windy
2024-04-11,Snacks,370,347,23,361,No,No,Rainy
2024-04-11,Dinner,417,383,34,385,No,No,Cloudy
2024-04-11,Desserts,238,217,21,234,No,No,Cloudy
2024-04-12,Meals,509,478,31,502,Yes,No,Rainy
2024-04-12,Biryani,604,562,42,605,No,No,Rainy
2024-04-12,Breakfast,330,307,23,318,No,No,Rainy
2024-04-13,Snacks,313,303,10,310,No,No,Cloudy
2024-04-13,Dinner,675,654,21,646,No,Yes,Cold
2024-04-13,Desserts,272,250,22,254,No,No,Cold
2024-04-14,Meals,422,396,26,402,No,No,Windy
2024-04-14,Biryani,871,799,72,822,No,Yes,Rainy
2024-04-14,Breakfast,465,440,25,452,No,Yes,Sunny
2024-04-15,Snacks,334,305,29,322,No,No,Sunny
2024-04-15,Dinner,477,463,14,460,No,Yes,Cloudy
2024-04-15,Desserts,339,306,33,313,No,Yes,Sunny
2024-04-16,Meals,534,517,17,514,Yes,No,Sunny
2024-04-16,Biryani,506,477,29,481,No,No,Cloudy
2024-04-16,Breakfast,320,310,10,315,No,No,Sunny
2024-04-17,Snacks,417,382,35,379,No,Yes,Cold
2024-04-17,Dinner,461,425,36,431,No,No,Rainy
2024-04-17,Desserts,224,202,22,211,No,No,Sunny
2024-04-18,Meals,413,387,26,383,No,No,Sunny
2024-04-18,Biryani,368,350,18,371,No,No,Sunny
2024-04-18,Breakfast,343,331,12,353,No,No,Cloudy
2024-04-19,Snacks,339,313,26,334,No,No,Windy
2024-04-19,Dinner,475,461,14,454,No,No,Rainy
2024-04-19,Desserts,284,260,24,255,No,No,Sunny
2024-04-20,Meals,533,500,33,522,No,Yes,Windy
2024-04-20,Biryani,608,549,59,591,No,No,Rainy
2024-04-20,Breakfast,314,305,9,324,No,No,Sunny
2024-04-21,Snacks,321,305,16,327,No,No,Sunny
2024-04-21,Dinner,496,452,44,452,No,No,Cloudy
2024-04-21,Desserts,344,310,34,331,No,Yes,Cloudy
2024-04-22,Meals,361,332,29,360,No,No,Rainy
2024-04-22,Biryani,461,420,41,437,No,No,Cloudy
2024-04-22,Breakfast,308,289,19,295,No,No,Sunny
2024-04-23,Snacks,314,294,20,320,No,No,Rainy
2024-04-23,Dinner,529,492,37,492,Yes,No,Sunny
2024-04-23,Desserts,217,203,14,219,No,No,Sunny
2024-04-24,Meals,401,379,22,396,No,No,Cloudy
2024-04-24,Biryani,536,488,48,494,No,No,Sunny
2024-04-24,Breakfast,338,331,7,340,No,No,Cloudy
2024-04-25,Snacks,433,400,33,416,Yes,No,Rainy
2024-04-25,Dinner,378,347,31,369,No,No,Sunny
2024-04-25,Desserts,227,202,25,218,No,No,Sunny
2024-04-26,Meals,507,474,33,467,No,No,Sunny
2024-04-26,Biryani,518,493,25,532,No,No,Sunny
2024-04-26,Breakfast,377,367,10,369,No,No,Sunny
2024-04-27,Snacks,271,256,15,277,No,No,Cold
2024-04-27,Dinner,438,418,20,453,No,No,Cold
2024-04-27,Desserts,295,267,28,278,No,No,Cold
2024-04-28,Meals,544,523,21,564,No,Yes,Rainy
2024-04-28,Biryani,465,447,18,481,No,No,Sunny
2024-04-28,Breakfast,370,353,17,362,No,No,Sunny
2024-04-29,Snacks,400,380,20,388,Yes,No,Sunny
2024-04-29,Dinner,492,448,44,444,No,No,Sunny
2024-04-29,Desserts,243,225,18,241,No,No,Sunny
2024-04-30,Meals,489,467,22,504,No,Yes,Sunny
2024-04-30,Biryani,533,509,24,542,No,No,Rainy
2024-04-30,Breakfast,284,273,11,287,No,No,Sunny
2024-05-01,Snacks,223,212,11,228,No,No,Cold
2024-05-01,Dinner,479,445,34,469,No,No,Sunny
2024-05-01,Desserts,222,199,23,208,No,No,Sunny
2024-05-02,Meals,496,465,31,471,No,Yes,Rainy
2024-05-02,Biryani,427,403,24,419,No,No,Cloudy
2024-05-02,Breakfast,300,290,10,295,No,No,Cloudy
2024-05-03,Snacks,333,303,30,327,No,No,Cloudy
2024-05-03,Dinner,506,467,39,480,No,No,Rainy
2024-05-03,Desserts,247,232,15,236,No,No,Rainy
2024-05-04,Meals,525,497,28,504,No,No,Rainy
2024-05-04,Biryani,593,552,41,584,No,No,Sunny
2024-05-04,Breakfast,328,311,17,318,No,No,Sunny
2024-05-05,Snacks,461,421,40,438,No,Yes,Sunny
2024-05-05,Dinner,589,554,35,573,No,Yes,Sunny
2024-05-05,Desserts,290,272,18,272,No,No,Sunny
2024-05-06,Meals,442,425,17,451,No,No,Cloudy
2024-05-06,Biryani,541,507,34,538,No,No,Cold
2024-05-06,Breakfast,351,331,20,353,No,No,Sunny
2024-05-07,Snacks,309,285,24,287,No,No,Sunny
2024-05-07,Dinner,638,609,29,631,Yes,Yes,Windy
2024-05-07,Desserts,234,213,21,218,No,No,Rainy
2024-05-08,Meals,365,348,17,352,No,No,Cloudy
2024-05-08,Biryani,545,514,31,552,No,Yes,Sunny
2024-05-08,Breakfast,278,270,8,282,No,No,Rainy
2024-05-09,Snacks,359,336,23,330,No,No,Rainy
2024-05-09,Dinner,361,351,10,368,No,No,Sunny
2024-05-09,Desserts,223,204,19,211,No,No,Cold
2024-05-10,Meals,424,392,32,425,No,No,Cloudy
2024-05-10,Biryani,619,578,41,617,No,No,Rainy
2024-05-10,Breakfast,359,334,25,335,No,No,Rainy
2024-05-11,Snacks,444,404,40,415,No,Yes,Cloudy
2024-05-11,Dinner,519,478,41,501,No,No,Sunny
2024-05-11,Desserts,295,268,27,268,No,No,Sunny
2024-05-12,Meals,442,428,14,455,No,No,Sunny
2024-05-12,Biryani,600,566,34,572,No,No,Sunny
2024-05-12,Breakfast,436,403,33,404,No,No,Cloudy
2024-05-13,Snacks,340,325,15,323,No,No,Sunny
2024-05-13,Dinner,369,352,17,361,No,No,Cloudy
2024-05-13,Desserts,194,182,12,181,No,No,Rainy
2024-05-14,Meals,372,362,10,381,No,No,Cold
2024-05-14,Biryani,555,511,44,530,No,No,Cloudy
2024-05-14,Breakfast,400,386,14,411,No,Yes,Rainy
2024-05-15,Snacks,366,344,22,353,No,No,Rainy
2024-05-15,Dinner,430,414,16,429,No,No,Sunny
2024-05-15,Desserts,261,243,18,240,No,No,Sunny
2024-05-16,Meals,419,390,29,412,No,No,Rainy
2024-05-16,Biryani,536,502,34,537,No,No,Windy
2024-05-16,Breakfast,288,274,14,298,No,No,Sunny
2024-05-17,Snacks,266,247,19,269,No,No,Cloudy
2024-05-17,Dinner,488,452,36,472,No,No,Sunny
2024-05-17,Desserts,284,255,29,274,No,No,Windy
2024-05-18,Meals,454,428,26,435,No,No,Sunny
2024-05-18,Biryani,766,697,69,705,No,Yes,Sunny
2024-05-18,Breakfast,468,450,18,443,No,Yes,Cloudy
2024-05-19,Snacks,453,423,30,432,No,Yes,Rainy
2024-05-19,Dinner,471,436,35,450,No,No,Cloudy
2024-05-19,Desserts,408,373,35,368,No,Yes,Windy
2024-05-20,Meals,303,277,26,272,No,No,Rainy
2024-05-20,Biryani,514,473,41,495,No,No,Rainy
2024-05-20,Breakfast,318,311,7,329,No,No,Cloudy
2024-05-21,Snacks,419,394,25,401,Yes,No,Rainy
2024-05-21,Dinner,330,314,16,332,No,No,Sunny
2024-05-21,Desserts,225,207,18,213,No,No,Cloudy
2024-05-22,Meals,484,445,39,449,No,No,Cloudy
2024-05-22,Biryani,794,734,60,761,Yes,Yes,Sunny
2024-05-22,Breakfast,354,344,10,348,No,No,Cloudy
2024-05-23,Snacks,321,309,12,312,No,No,Cloudy
2024-05-23,Dinner,425,392,33,425,No,No,Sunny
2024-05-23,Desserts,284,267,17,274,No,Yes,Cloudy
2024-05-24,Meals,369,356,13,377,No,No,Rainy
2024-05-24,Biryani,537,515,22,531,No,No,Sunny
2024-05-24,Breakfast,344,319,25,315,No,No,Rainy
2024-05-25,Snacks,320,303,17,319,No,No,Sunny
2024-05-25,Dinner,530,488,42,521,No,Yes,Sunny
2024-05-25,Desserts,346,310,36,327,No,Yes,Rainy
2024-05-26,Meals,575,542,33,552,No,Yes,Sunny
2024-05-26,Biryani,589,539,50,534,No,No,Sunny
2024-05-26,Breakfast,505,467,38,466,No,Yes,Sunny
2024-05-27,Snacks,438,406,32,405,No,Yes,Cloudy
2024-05-27,Dinner,403,374,29,367,No,No,Sunny
2024-05-27,Desserts,236,213,23,220,No,No,Windy
2024-05-28,Meals,429,415,14,415,No,No,Sunny
2024-05-28,Biryani,440,416,24,441,No,No,Cold
2024-05-28,Breakfast,307,300,7,317,No,No,Cloudy
2024-05-29,Snacks,286,275,11,295,No,No,Rainy
2024-05-29,Dinner,370,353,17,372,No,No,Rainy
2024-05-29,Desserts,239,216,23,216,No,No,Cloudy
2024-05-30,Meals,543,510,33,534,Yes,No,Sunny
2024-05-30,Biryani,438,410,28,445,No,No,Cold
2024-05-30,Breakfast,262,257,5,276,No,No,Sunny
2024-05-31,Snacks,337,320,17,320,No,No,Sunny
2024-05-31,Dinner,408,395,13,429,No,No,Rainy
2024-05-31,Desserts,343,307,36,304,No,No,Sunny
2024-06-01,Meals,603,571,32,570,No,Yes,Rainy
2024-06-01,Biryani,877,828,49,883,Yes,Yes,Sunny
2024-06-01,Breakfast,445,421,24,438,No,Yes,Rainy
2024-06-02,Snacks,547,513,34,509,Yes,Yes,Sunny
2024-06-02,Dinner,526,495,31,508,No,No,Cold
2024-06-02,Desserts,254,237,17,249,No,No,Sunny
2024-06-03,Meals,483,440,43,442,No,No,Sunny
2024-06-03,Biryani,626,571,55,604,No,Yes,Cloudy
2024-06-03,Breakfast,443,424,19,425,No,Yes,Cold
2024-06-04,Snacks,358,330,28,337,No,No,Sunny
2024-06-04,Dinner,368,345,23,354,No,No,Sunny
2024-06-04,Desserts,180,167,13,173,No,No,Windy
2024-06-05,Meals,551,504,47,548,No,Yes,Sunny
